pred_delta_ratio,real_delta_ratio,pred_delta,real_delta,real_price
-0.08674384,-0.16454582,0.2638313805351338,-0.3499999999999943,184.9
-0.23547378,-0.16943482,-0.9826531803904206,-0.3900000000000148,184.51
-0.2174995,-0.06554369,-0.8689603271663093,0.46000000000000796,184.97
0.1754724,-0.5226646,2.6389339242662846,-3.280000000000001,181.69
-0.14497244,-0.3882173,-0.21997675973735165,-2.180000000000007,179.51
0.30922785,0.048125427,3.726743585652478,1.3900000000000148,180.9
0.13819754,1.481823,2.20601714647597,13.120000000000005,194.02
1.0222377,0.33413157,9.701468741548691,3.7299999999999898,197.75
-0.14562751,0.75580734,-0.19904679561017402,7.180000000000007,204.93
0.18401302,-1.2609028,2.646205104607838,-9.319999999999993,195.61
0.6142433,0.14712755,5.640139733605591,2.1999999999999886,197.81
-0.3730172,0.409911,-2.1428685955236704,4.349999999999994,202.16
0.27405578,-0.4089955,3.4272188713956098,-2.3499999999999943,199.81
-0.16532826,0.42457798,-0.5766128872259831,4.469999999999999,204.28
-0.14223629,0.08968188,-0.1542922996936258,1.7299999999999898,206.01
-0.104518585,-0.5092199,0.11262849770096828,-3.1699999999999875,202.84
-0.22474782,-0.3857728,-0.9558742927424176,-2.1599999999999966,200.68
0.3333778,0.44902295,3.8920241749894338,4.6699999999999875,205.35
0.16048469,0.18257277,2.3295805816272885,2.490000000000009,207.84
-0.043901093,0.37935477,0.5707139860605721,4.099999999999994,211.94
0.24717492,0.016346965,3.143802719959945,1.1299999999999955,213.07
-0.24231064,0.079903886,-1.0421786718293775,1.6500000000000057,214.72
0.09816334,-0.51777565,1.8634928168001657,-3.240000000000009,211.48
0.004002407,0.4429117,1.1903019573454547,4.6200000000000045,216.1
-0.14574304,-0.28677067,-0.22667365110845394,-1.3499999999999943,214.75
-0.042620353,-0.23176949,0.6698763241968448,-0.9000000000000057,213.85
0.0042479485,-0.10343339,1.0421204891629792,0.15000000000000568,214.0
0.047888547,0.6543607,1.5849689859561986,6.349999999999994,220.35
-0.36110744,0.017569214,-2.0284544235844066,1.1400000000000148,221.49
-0.28971952,-0.44321847,-1.464587256549768,-2.6299999999999955,218.86
