pred_delta_ratio,real_delta_ratio,pred_delta,real_delta,real_price
0.88525116,-0.23456387,2.375106644303483,-0.4200000000000017,107.35
0.44124064,1.7498428,1.2290758142599232,4.400000000000006,111.75
0.46179575,1.9227579,1.3251693027263858,4.819999999999993,116.57
0.62538004,0.3253517,1.5629314596024344,0.9400000000000119,117.51
0.7591717,-0.4733514,2.0341181275892755,-1.0,116.51
-0.09806829,1.173459,-0.06519632152672492,3.0,119.51
0.44353896,0.48591572,1.277570059410296,1.3299999999999983,120.84
0.12416155,0.75763947,0.47640924079288816,1.9899999999999949,122.83
0.75920343,-0.09046796,2.063466253343791,-0.06999999999999318,122.76
-1.066595,0.88115025,-2.4902400177990724,2.289999999999992,125.05
-1.1695803,-1.0867883,-2.73477899467108,-2.489999999999995,122.56
0.84082186,-0.7450751,2.27904610808348,-1.6599999999999966,120.9
0.73513794,1.000544,2.0041714064092164,2.5799999999999983,123.48
-0.3897388,0.40357518,-0.8214281976418313,1.1299999999999955,124.61
-0.6332385,-1.1197245,-1.3395926825365774,-2.569999999999993,122.04
-0.3327609,0.2800644,-0.6563009815353584,0.8299999999999983,122.87
0.31385058,0.28829846,0.9565644604944062,0.8499999999999943,123.72
0.5251514,0.32946873,1.4224770046909727,0.9500000000000028,124.67
0.18318366,0.49003273,0.6433249243596384,1.3400000000000034,126.01
-0.64417684,0.47356462,-1.4148372334727393,1.2999999999999972,127.31
-0.2104547,-2.0419383,-0.3344808912712798,-4.810000000000002,122.5
-0.25066522,-0.20986173,-0.48086997078908644,-0.35999999999999943,122.14
0.56273454,-0.024595542,1.5753109881513188,0.09000000000000341,122.23
0.46598366,0.51885194,1.203755181671405,1.4099999999999966,123.64
-0.17168722,0.016574722,-0.2407106077080313,0.18999999999999773,123.83
0.47050476,-0.1275212,1.343951362136003,-0.1599999999999966,123.67
-0.10299808,0.52296895,-0.08102311456135464,1.4200000000000017,125.09
-0.31677604,-0.70390487,-0.6093478433169991,-1.5600000000000023,123.53
-0.08152252,-0.2386809,-0.03197626357537636,-0.4300000000000068,123.1
0.5485939,-1.1114905,1.5338942949630492,-2.549999999999997,120.55
-0.22267064,1.0087781,-0.4005871047280219,2.6000000000000085,123.15
-1.3512295,-0.3951279,-3.1036336235602997,-0.8100000000000023,122.34
-0.24361832,-1.7084593,-0.41593791403390246,-4.0,118.34
0.5536751,-0.065765806,1.5072985775567662,-0.010000000000005116,118.33
-0.31631184,0.70000106,-0.5737860861056725,1.8500000000000085,120.18
0.13255051,-0.50628763,0.490364837957735,-1.0800000000000125,119.1
0.09519507,0.1853728,0.4106250528967419,0.6000000000000085,119.7
0.28982472,0.020691747,0.8588457441138818,0.20000000000000284,119.9
0.12324701,0.70000106,0.4974801949834561,1.8499999999999943,121.75
-0.18513206,-0.7368411,-0.27877628630512724,-1.6400000000000006,120.11
-1.0815649,-0.32102144,-2.4886624229315393,-0.6299999999999955,119.48
0.004626313,-1.3091078,0.1500463212004346,-3.030000000000001,116.45
-0.47191584,0.22242603,-0.9887099723121728,0.6899999999999977,117.14
1.3124944,0.6752989,3.1112425148016145,1.7900000000000063,118.93
1.0941329,2.248003,2.852694686870966,5.609999999999999,124.54
-0.040566795,0.30064952,0.07731500273493072,0.8799999999999955,125.42
-1.0396292,-0.37865978,-2.4093203396881058,-0.769999999999996,124.65
0.015836723,-0.4280641,0.20967206379120498,-0.8900000000000006,123.76
-1.1149586,-0.7738943,-2.6077335561163952,-1.730000000000004,122.03
-0.34965676,-1.2267672,-0.7040367362000229,-2.8299999999999983,119.2
-0.46653962,0.27594736,-1.0017394536955972,0.8199999999999932,120.02
0.2562335,0.5600222,0.8435634175454613,1.5100000000000051,121.53
0.5153383,0.218309,1.460686606666623,0.6799999999999926,122.21
0.26271644,2.8449717,0.7890949956286775,7.0600000000000165,129.27
1.2183657,-0.008127436,3.1345360977966923,0.12999999999999545,129.4
0.25492838,1.2475655,0.7919403441557281,3.180000000000007,132.58
0.14026965,-0.00401041,0.5231673366647949,0.13999999999998636,132.72
-0.36220327,-0.54334086,-0.70282763164925,-1.1699999999999875,131.55
-0.2966929,-1.3667461,-0.5243658966009672,-3.170000000000016,128.38
-0.14874075,-0.032829594,-0.18871374882805048,0.06999999999999318,128.45
1.3918759,-0.20162767,3.627946489579024,-0.339999999999975,128.11
-0.23421665,1.3463742,-0.44021969071472256,3.4199999999999875,131.53
0.17603262,-0.11517012,0.6170048209314756,-0.12999999999999545,131.4
